word	zipf	dom_pos	all_pos
plucks	2.333	Verb	Verb
plucky	2.614	Adjective	Adjective
plug	4.018	Noun	Noun|Verb
plugged	3.345	Verb	Verb|Adjective
plugger	1.769	Noun	Noun
pluggers	1.593	Noun	Noun
plugging	2.915	Verb	Verb|Adjective
plugs	3.309	Noun	Noun|Verb|Name
plum	3.535	Noun	Noun|Name
plumage	2.292	Noun	Noun
plumb	3.231	Adverb	Adverb|Verb|Adjective|Noun|Name
plumbed	1.593	Verb	Verb
plumber	3.654	Noun	Noun
plumbers	2.905	Noun	Noun
plumbing	3.686	Noun	Noun|Verb
plume	2.690	Noun	Noun|Verb
plumed	1.593	Adjective	Adjective
plumes	2.571	Noun	Noun
plummer	2.999	Name	Name|Noun
plummet	2.634	Verb	Verb
plummeted	2.406	Verb	Verb
plummeting	2.614	Verb	Verb|Adjective
