word	pos	cefr	cefr_all	list
stadium	n	B1	B1	oxford3000
staff	n	B1	B1	oxford3000
stage	n|v	A2	A2|B2	oxford3000
stair	n	A2	A2	oxford3000
stake	n	C1	C1	oxford5000
stall	n	B2	B2	oxford5000
stamp	n	A2	A2	oxford3000
stance	n	B2	B2	oxford5000
stand	v|n	A1	A1|B2	oxford3000
standard	n|adj	B1	B1	oxford3000
standing	adj	C1	C1	oxford5000
star	n|v	A1	A1|A2	oxford3000
stare	v	B2	B2	oxford3000
stark	adj	C1	C1	oxford5000
start	v|n	A1	A1|A2	oxford3000
starve	v	B2	B2	oxford5000
state	n|adj|v	A2	A2|B1	oxford3000
statement	n	A1	A1	oxford3000
station	n	A1	A1	oxford3000
statistic	n	B1	B1	oxford3000
statistical	adj	C1	C1	oxford5000
statue	n	B1	B1	oxford3000
status	n	B2	B2	oxford3000
stay	v|n	A1	A1|A2	oxford3000
steadily	adv	B2	B2	oxford5000
steady	adj	B2	B2	oxford3000
steal	v	A2	A2	oxford3000
steam	n	B2	B2	oxford5000
steel	n	B2	B2	oxford3000
steep	adj	B2	B2	oxford3000
steer	v	C1	C1	oxford5000
stem	n|v	C1	C1	oxford5000
step	n|v	A2	A2|B2	oxford3000
stereotype	n	C1	C1	oxford5000
stick	v|n	B1	B1	oxford3000
sticky	adj	B2	B2	oxford3000
stiff	adj	B2	B2	oxford3000
still	adv|adj	A1	A1|B1	oxford3000
stimulate	v	B2	B2	oxford5000
stimulus	n	C1	C1	oxford5000
stir	v	C1	C1	oxford5000
stock	n	B2	B2	oxford3000
stomach	n	A2	A2	oxford3000
stone	n	A2	A2	oxford3000
stop	v|n	A1	A1	oxford3000
storage	n	C1	C1	oxford5000
store	n|v	A2	A2|B1	oxford3000
storm	n	A2	A2	oxford3000
story	n	A1	A1	oxford3000
straight	adv|adj	A2	A2	oxford3000
straightforward	adj	C1	C1	oxford5000
strain	n	C1	C1	oxford5000
strand	n	C1	C1	oxford5000
strange	adj	A2	A2	oxford3000
stranger	n	B1	B1	oxford3000
strategic	adj	C1	C1	oxford5000
strategy	n	A2	A2	oxford3000
stream	n	B2	B2	oxford3000
street	n	A1	A1	oxford3000
strength	n	B1	B1	oxford3000
strengthen	v	B2	B2	oxford5000
stress	n|v	A2	A2	oxford3000
stretch	v|n	B2	B2	oxford3000
strict	adj	B2	B2	oxford3000
strictly	adv	B2	B2	oxford5000
strike	v|n	B2	B2	oxford3000
striking	adj	B2	B2	oxford5000
string	n	B1	B1	oxford3000
strip	n|v	C1	C1	oxford5000
strive	v	C1	C1	oxford5000
stroke	n	B2	B2	oxford5000
strong	adj	A1	A1	oxford3000
strongly	adv	B1	B1	oxford3000
structural	adj	C1	C1	oxford5000
structure	n|v	A2	A2|B2	oxford3000
struggle	v|n	B2	B2	oxford3000
student	n	A1	A1	oxford3000
studio	n	B1	B1	oxford3000
study	n|v	A1	A1	oxford3000
stuff	n|v	B1	B1|B2	oxford3000
stumble	v	C1	C1	oxford5000
stun	v	C1	C1	oxford5000
stunning	adj	B2	B2	oxford5000
stupid	adj	A2	A2	oxford3000
style	n	A1	A1	oxford3000
subject	n|adj	A1	A1|B2	oxford3000
submission	n	C1	C1	oxford5000
submit	v	B2	B2	oxford3000
subscriber	n	C1	C1	oxford5000
subscription	n	C1	C1	oxford5000
subsequent	adj	B2	B2	oxford5000
subsequently	adv	B2	B2	oxford5000
subsidy	n	C1	C1	oxford5000
substance	n	B1	B1	oxford3000
substantial	adj	C1	C1	oxford5000
substantially	adv	C1	C1	oxford5000
substitute	n|v	C1	C1	oxford5000
substitution	n	C1	C1	oxford5000
subtle	adj	C1	C1	oxford5000
suburb	n	B2	B2	oxford5000
suburban	adj	C1	C1	oxford5000
succeed	v	A2	A2	oxford3000
success	n	A1	A1	oxford3000
successful	adj	A2	A2	oxford3000
successfully	adv	B1	B1	oxford3000
succession	n	C1	C1	oxford5000
successive	adj	C1	C1	oxford5000
successor	n	C1	C1	oxford5000
such	det|pron	A2	A2	oxford3000
suck	v	C1	C1	oxford5000
sudden	adj	B1	B1	oxford3000
suddenly	adv	A2	A2	oxford3000
sue	v	C1	C1	oxford5000
suffer	v	B1	B1	oxford3000
suffering	n	B2	B2	oxford5000
sufficient	adj	B2	B2	oxford5000
sufficiently	adv	B2	B2	oxford5000
sugar	n	A1	A1	oxford3000
suggest	v	A2	A2	oxford3000
suggestion	n	A2	A2	oxford3000
suicide	n	C1	C1	oxford5000
suit	n|v	A2	A2|B1	oxford3000
suitable	adj	B1	B1	oxford3000
suite	n	C1	C1	oxford5000
sum	n|v	B2	B2	oxford3000
summarize	v	B1	B1	oxford3000
summary	n	B1	B1	oxford3000
summer	n	A1	A1	oxford3000
summit	n	C1	C1	oxford5000
sun	n	A1	A1	oxford3000
sunday	n	A1	A1	oxford3000
super	adj	B2	B2	oxford5000
superb	adj	C1	C1	oxford5000
superior	adj	C1	C1	oxford5000
supermarket	n	A1	A1	oxford3000
supervise	v	C1	C1	oxford5000
supervision	n	C1	C1	oxford5000
supervisor	n	C1	C1	oxford5000
supplement	n|v	C1	C1	oxford5000
supply	n|v	B1	B1	oxford3000
support	v|n	A2	A2	oxford3000
supporter	n	B1	B1	oxford3000
supportive	adj	C1	C1	oxford5000
suppose	v	A2	A2	oxford3000
supposedly	adv	C1	C1	oxford5000
suppress	v	C1	C1	oxford5000
supreme	adj	C1	C1	oxford5000
sure	adj|adv	A1	A1|A2	oxford3000
surely	adv	B1	B1	oxford3000
surface	n	B1	B1	oxford3000
surge	n|v	C1	C1	oxford5000
surgeon	n	B2	B2	oxford5000
surgery	n	B2	B2	oxford3000
surgical	adj	C1	C1	oxford5000
surplus	n	C1	C1	oxford5000
surprise	n|v	A2	A2	oxford3000
surprised	adj	A2	A2	oxford3000
surprising	adj	A2	A2	oxford3000
surrender	v	C1	C1	oxford5000
surround	v	B2	B2	oxford3000
surrounding	adj	B2	B2	oxford3000
surveillance	n	C1	C1	oxford5000
survey	n|v	A2	A2|B2	oxford3000
survival	n	B2	B2	oxford5000
survive	v	B1	B1	oxford3000
survivor	n	B2	B2	oxford5000
suspect	v|n	B2	B2	oxford3000
suspend	v	B2	B2	oxford5000
suspension	n	C1	C1	oxford5000
suspicion	n	C1	C1	oxford5000
suspicious	adj	C1	C1	oxford5000
sustain	v	C1	C1	oxford5000
sustainable	adj	B2	B2	oxford5000
swallow	v	B2	B2	oxford5000
swear	v	B2	B2	oxford3000
sweater	n	A1	A1	oxford3000
sweep	v	B2	B2	oxford3000
sweet	adj|n	A2	A2	oxford3000
swim	v|n	A1	A1|B1	oxford3000
swimming	n	A1	A1	oxford3000
swing	v|n	C1	C1	oxford5000
switch	v|n	B1	B1|B2	oxford3000
sword	n	C1	C1	oxford5000
symbol	n	A2	A2	oxford3000
symbolic	adj	C1	C1	oxford5000
sympathetic	adj	B2	B2	oxford5000
sympathy	n	B2	B2	oxford3000
symptom	n	B1	B1	oxford3000
syndrome	n	C1	C1	oxford5000
synthesis	n	C1	C1	oxford5000
system	n	A2	A2	oxford3000
systematic	adj	C1	C1	oxford5000
t-shirt	n	A1	A1	oxford3000
table	n	A1	A1	oxford3000
tablet	n	A2	A2	oxford3000
tackle	v|n	B2	B2|C1	oxford5000
tactic	n	C1	C1	oxford5000
tactical	adj	C1	C1	oxford5000
tag	n|v	B2	B2	oxford5000
tail	n	B1	B1	oxford3000
take	v	A1	A1	oxford3000
tale	n	B2	B2	oxford3000
talent	n	B1	B1	oxford3000
talented	adj	B1	B1	oxford3000
talk	v|n	A1	A1|A2	oxford3000
tall	adj	A1	A1	oxford3000
tank	n	B2	B2	oxford3000
tap	v|n	B2	B2	oxford5000
tape	n	B1	B1	oxford3000
target	n|v	A2	A2|B2	oxford3000
task	n	A2	A2	oxford3000
taste	n|v	A2	A2	oxford3000
tax	n|v	B1	B1	oxford3000
taxi	n	A1	A1	oxford3000
taxpayer	n	C1	C1	oxford5000
tea	n	A1	A1	oxford3000
teach	v	A1	A1	oxford3000
teacher	n	A1	A1	oxford3000
teaching	n	A2	A2	oxford3000
team	n	A1	A1	oxford3000
tear	v|n	B2	B2	oxford3000
technical	adj	B1	B1	oxford3000
technique	n	B1	B1	oxford3000
technological	adj	B2	B2	oxford5000
technology	n	A2	A2	oxford3000
teenage	adj	A2	A2	oxford3000
teenager	n	A1	A1	oxford3000
teens	n	B2	B2	oxford5000
telephone	n|v	A1	A1	oxford3000
television	n	A1	A1	oxford3000
tell	v	A1	A1	oxford3000
temperature	n	A2	A2	oxford3000
temple	n	B2	B2	oxford5000
