word	pknown	prevalence	nobs
acetylcholine	0.6324	0.335	389
acetylene	0.8229	0.914	384
acetylsalicylate	0.6099	0.276	364
acetylsalicylic	0.6644	0.420	146
ach	0.3632	-0.346	413
achalasia	0.2194	-0.765	155
ache	0.9898	2.167	392
achievable	0.9889	2.145	361
achieve	0.9921	2.232	380
achievement	0.9976	2.438	414
achiever	0.9911	2.203	451
achiness	0.8897	1.205	408
aching	0.9847	2.051	392
achingly	0.9270	1.423	397
achromatic	0.7257	0.593	401
achromatically	0.6728	0.443	217
achromatize	0.5415	0.103	349
achromous	0.3725	-0.322	408
achy	0.9327	1.464	401
acicular	0.2109	-0.793	384
aciculate	0.1298	-1.110	393
acid	0.9951	2.333	410
acidic	0.9949	2.326	396
acidification	0.8581	1.056	437
acidifier	0.8115	0.872	382
acidify	0.9180	1.365	366
acidimetric	0.3325	-0.428	415
acidimetrically	0.2255	-0.745	204
acidity	0.9907	2.193	432
acidize	0.7182	0.571	369
acidly	0.8305	0.943	466
acidometer	0.6430	0.363	409
acidophilic	0.6893	0.488	428
acidophilus	0.6196	0.301	163
acidosis	0.6797	0.462	409
acidulate	0.3401	-0.408	397
acidulous	0.4022	-0.245	368
aciform	0.2182	-0.769	417
acknowledge	1.0000	2.576	438
acknowledgeable	0.9403	1.521	385
acknowledged	0.9900	2.174	402
acknowledgement	0.9900	2.173	401
acknowledger	0.8665	1.093	367
acme	0.8561	1.047	403
acne	0.9896	2.162	384
acolyte	0.8312	0.946	385
aconite	0.3910	-0.274	399
aconitum	0.1340	-1.091	388
acorn	0.9766	1.909	385
acoustic	0.9903	2.182	414
acoustical	0.8686	1.102	388
acoustically	0.9859	2.077	427
acoustician	0.7434	0.646	417
acoustics	0.9944	2.305	354
acquaint	0.9780	1.931	410
acquaintance	0.9931	2.262	434
acquaintanceship	0.8162	0.889	359
acquainted	0.9948	2.322	386
acquiesce	0.8506	1.024	415
acquiescence	0.8842	1.177	380
acquiescent	0.8977	1.247	440
acquiescently	0.8145	0.883	248
acquiescingly	0.7066	0.537	259
acquirable	0.9731	1.857	409
acquire	0.9901	2.177	406
acquired	0.9944	2.305	354
acquirement	0.8503	1.023	394
acquirer	0.9504	1.606	403
acquisition	0.9851	2.060	404
acquisitive	0.8676	1.098	355
acquisitively	0.8114	0.872	228
acquisitiveness	0.8010	0.835	392
acquit	0.9192	1.372	396
acquittal	0.9534	1.634	408
acquitter	0.8479	1.013	355
acre	0.9925	2.245	402
acreage	0.8305	0.943	407
acrid	0.8869	1.190	398
acridity	0.7299	0.606	448
acridly	0.7696	0.729	421
acridness	0.7946	0.812	370
acrimonious	0.8628	1.077	379
acrimoniously	0.8762	1.138	404
acrimoniousness	0.7534	0.677	223
acrimony	0.8385	0.974	390
acrobat	0.9930	2.259	427
acrobatic	0.9951	2.334	412
acrobatically	0.9793	1.951	241
acrobatics	0.9904	2.184	418
acrogenic	0.3703	-0.328	424
acrogenous	0.2912	-0.544	388
acrolith	0.2414	-0.694	377
acrolithic	0.3422	-0.402	412
acromegaly	0.1942	-0.851	139
acromion	0.2099	-0.797	181
acronym	0.9830	2.016	352
acronymic	0.7236	0.587	398
acrophobia	0.8692	1.106	390
acropolis	0.8859	1.185	412
acrosome	0.1737	-0.927	167
across	0.9950	2.330	404
acrostic	0.6995	0.517	426
acrostically	0.5966	0.242	238
acryl	0.4450	-0.137	418
acrylamide	0.4737	-0.065	171
acrylate	0.4679	-0.080	156
acrylic	0.9901	2.175	403
acrylonitrile	0.2244	-0.748	156
act	1.0000	2.576	347
actability	0.5523	0.130	411
actable	0.6486	0.378	370
actin	0.3195	-0.464	410
acting	0.9886	2.136	437
actinia	0.1995	-0.833	426
actinic	0.2292	-0.733	397
actinically	0.1486	-1.027	249
actinium	0.4106	-0.224	397
actinography	0.2655	-0.619	452
action	0.9971	2.414	342
actionable	0.9181	1.366	452
actionably	0.7336	0.617	244
activate	0.9953	2.339	425
activation	0.9975	2.434	403
activator	0.9869	2.099	383
active	1.0000	2.576	396
actively	0.9887	2.141	355
activeness	0.9386	1.508	440
activism	0.9952	2.334	413
activist	0.9974	2.430	389
activity	0.9929	2.255	421
actor	0.9974	2.427	379
actress	0.9930	2.260	430
acts	0.9922	2.235	385
actual	0.9954	2.342	431
actuality	0.9869	2.099	383
actualization	0.9823	2.005	396
actualize	0.9691	1.804	388
actually	0.9955	2.346	442
actuarial	0.7105	0.549	380
actuarially	0.5813	0.203	406
actuary	0.8824	1.168	391
actuate	0.8978	1.247	401
actuation	0.8364	0.966	385
actuator	0.8118	0.873	372
acuity	0.8355	0.963	383
aculeate	0.1910	-0.863	424
acumen	0.8089	0.863	403
acuminate	0.3370	-0.416	368
acumination	0.3042	-0.507	378
acuminous	0.3419	-0.403	468
acupressure	0.8525	1.032	373
acupuncture	0.9902	2.179	409
acupuncturist	0.9680	1.791	375
acute	0.9950	2.328	399
acutely	0.9902	2.179	410
acuteness	0.9774	1.922	399
acyclic	0.6158	0.291	367
acyclovir	0.2277	-0.737	426
acyl	0.1918	-0.860	146
acylation	0.2442	-0.685	172
ad	0.9641	1.744	390
adage	0.8881	1.196	411
