family,subband,rank,pos_in_band,zipf,prevalence,cefr,gse,awl,pos,members,definition,example
concrete,3k-b,2777,182,3.872,0.9929,B2,,0,adj|n,concreted|concretely|concretes|concreting,,
heel,3k-b,2912,183,3.869,0.9900,B2,,0,n,heeled|heels,,
puzzle,3k-b,2835,184,3.866,0.9949,B2,,0,n,puzzled|puzzlement|puzzlements|puzzler|puzzlers|puzzles|puzzling,,
agenda,3k-b,2839,185,3.865,0.9873,B2,,0,n,agendas,,
organ,3k-b,2793,186,3.861,1.0000,B2,,0,n,organist|organists|organs,,
rally,3k-b,2855,187,3.859,0.9930,C1,,0,n|v,rallied|rallies|rallying,,
mutual,3k-b,2719,188,3.859,0.9889,C1,,1,adj,mutuality|mutually,,
disorder,3k-b,2725,189,3.854,1.0000,B2,,0,n,disordered|disorderly|disorders|disorderliness,,
substance,3k-b,2598,190,3.854,1.0000,B1,,0,n,substances,,
weigh,3k-b,2809,191,3.853,0.9927,B1,,0,v,unweighed|weighed|weigher|weighers|weighing|weighs,,
harsh,3k-b,2914,192,3.852,1.0000,C1,,0,adj,harsher|harshest|harshly|harshness,,
compound,3k-b,2728,193,3.851,0.9929,B2,,1,n,compoundable|compounded|compounding|compounds,,
compromise,3k-b,2676,194,3.847,1.0000,C1,,0,n|v,compromised|compromises|compromising|uncompromising|uncompromisingly,,
intimate,3k-b,2847,195,3.843,0.9951,C1,,0,adj,intimacies|intimacy|intimated|intimately|intimates|intimating|intimation|intimations,,
satisfaction,3k-b,2714,196,3.843,0.9924,B2,,0,n,satisfactions,,
subtle,3k-b,2888,197,3.842,0.9901,C1,,0,adj,subtleness|subtler|subtlest|subtly|unsubtle,,
resort,3k-b,2674,198,3.840,0.9951,B2,,0,n,resorted|resorting|resorts,,
myth,3k-b,2861,199,3.840,0.9918,B2,,0,n,mythic|mythical|mythically|myths,,
gravity,3k-b,2960,200,3.838,0.9975,C1,,0,n,gravitate|gravitated|gravitates|gravitating|gravitation|gravitational|gravities,,
echo,3k-b,2570,201,3.837,0.9950,C1,,0,v|n,echoed|echoes|echoing,,
eager,3k-b,2878,202,3.837,0.9928,C1,,0,adj,eagerly|eagerness|uneager,,
sensible,3k-b,2593,203,3.833,1.0000,B1,,0,adj,sensibilities|sensibility|sensibly,,
pose,3k-b,2612,204,3.833,0.9971,B2,,1,v,posed|poser|posers|poses|posing,,
sophisticated,3k-b,2812,205,3.832,0.9919,B2,,0,adj,sophisticate|sophisticates|sophisticating|unsophisticated,,
anxiety,3k-b,2678,206,3.831,0.9896,B2,,0,n,anxieties,,
lodge,3k-b,2641,207,3.826,0.9922,,,0,n,lodged|lodger|lodgers|lodges|lodging|lodgings,,
circuit,3k-b,2582,208,3.825,1.0000,B2,,0,n,circuited|circuiting|circuitous|circuitries|circuitry|circuits,,
disagree,3k-b,2803,209,3.822,0.9976,A2,,0,v,disagreeable|disagreeably|disagreed|disagreeing|disagreement|disagreements|disagrees,,
frequency,3k-b,2549,210,3.821,0.9923,B2,,0,n,frequencies|infrequency,,
architect,3k-b,2780,211,3.817,0.9973,A2,,0,n,architects,,
airline,3k-b,2897,212,3.813,0.9974,A2,,0,n,airliner|airliners|airlines,,
senate,3k-b,2998,213,3.813,0.9852,,,0,n,senates,,
discharge,3k-b,2684,214,3.808,1.0000,C1,,0,v,discharged|discharger|dischargers|discharges|discharging|undischarged,,
drift,3k-b,2670,215,3.808,1.0000,C1,,0,v,drifted|drifter|drifters|drifting|drifts,,
